DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
7,42,yes,no,7759.59,31.73
7,43,yes,no,7663.26,31.38
7,44,yes,no,7530.96,30.99
7,45,yes,no,7493.77,30.3
7,46,yes,no,7230.1,28.09
7,47,yes,no,7014.39,28.12
1,0,yes,no,6884.61,29.19
1,1,yes,no,6661.82,28.88
1,2,yes,no,6499.36,27.73
1,3,yes,no,6266.73,27.29
1,4,yes,no,6101.36,26.57
1,5,yes,no,5953.73,23.14
1,6,yes,no,5876.41,24.9
1,7,yes,no,5853.31,24.36
1,8,yes,no,5849.48,23.66
1,9,yes,no,5912.56,24.52
1,10,yes,no,5914.55,21.81
1,11,yes,no,6007.05,26.11
1,12,yes,no,6085.92,19.35
1,13,yes,no,6297.47,19.56
1,14,yes,no,6495.41,22.2
1,15,yes,no,6843.17,27.74
1,16,yes,yes,7067.88,25.51
1,17,yes,yes,7304.81,27.68
1,18,yes,yes,7449.15,27.63
1,19,yes,yes,7645.19,28.1
1,20,yes,yes,7672.79,27.99
1,21,yes,yes,7791.33,28.04
1,22,yes,yes,7946.95,28.28
1,23,yes,yes,8125.02,29.59
1,24,yes,yes,8304.13,31.52
1,25,yes,yes,8524.14,30.78
1,26,yes,yes,8686.63,31.74
1,27,yes,yes,8887.08,32.35
1,28,yes,yes,9130.12,32.58
1,29,yes,yes,9350.11,33.33
1,30,yes,yes,9538.89,34.53
1,31,yes,yes,9741.53,35.27
1,32,yes,yes,9895.41,37.08
1,33,yes,yes,9893.66,37.55
1,34,yes,yes,10022.96,41.94
1,35,yes,yes,10062.66,42.91
1,36,yes,yes,9935.91,40.12
1,37,yes,no,9720.59,36.44
1,38,yes,no,9455.8,34.35
1,39,yes,no,9476.82,34.39
1,40,yes,no,9339.68,33.17
1,41,yes,no,9135.71,32.17
1,42,yes,no,8756.13,29.16
1,43,yes,no,8497.63,29.03
1,44,yes,no,8059.55,28.09
1,45,yes,no,7791.44,29.18
1,46,yes,no,7467.86,27.8
1,47,yes,no,7211.93,28.01
2,0,no,no,7102.75,27.3
2,1,no,no,6905.18,28.15
2,2,no,no,6708.75,24.28
2,3,no,no,6392.52,18.96
2,4,no,no,6211.76,18.96
2,5,no,no,6180.87,18.96
2,6,no,no,6130.21,18.96
2,7,no,no,6151.28,18.92
2,8,no,no,6227.3,18.96
2,9,no,no,6474.09,19.7
2,10,no,no,6697.9,23.91
2,11,no,no,7279.51,28.03
2,12,no,no,7727.65,26.03
2,13,no,no,8158.64,28.23
2,14,no,no,8579.71,29.15
2,15,no,no,8791.7,28.29
2,16,no,yes,8981.47,29.85
2,17,no,yes,9135.96,31.52
2,18,no,yes,9281.18,34.44
2,19,no,yes,9394.99,35.72
2,20,no,yes,9408.38,34.92
2,21,no,yes,9415.56,35.06
2,22,no,yes,9386.9,34.42
2,23,no,yes,9422.06,34.88
2,24,no,yes,9382.45,34.96
2,25,no,yes,9341.34,34.68
2,26,no,yes,9387.74,34.36
2,27,no,yes,9385.67,34.85
2,28,no,yes,9466.24,34.97
2,29,no,yes,9456.95,35.28
2,30,no,yes,9541.59,35.6
2,31,no,yes,9594.79,37.03
2,32,no,yes,9577.85,39.49
2,33,no,yes,9596.05,38.43
2,34,no,yes,9539.62,39.11
2,35,no,yes,9339.83,35.01
2,36,no,yes,9244.73,34.96
2,37,no,no,9024.21,33.15
2,38,no,no,8959.04,34.84
2,39,no,no,8911.7,39.24
2,40,no,no,8843.12,34.88
2,41,no,no,8610.49,34.08
2,42,no,no,8305.85,30.67
2,43,no,no,8219.16,30.37
2,44,no,no,7973.73,28.01
2,45,no,no,7861.92,28.38
2,46,no,no,7633.51,28.2
2,47,no,no,7474.7,28.25
3,0,no,no,7299.36,28
3,1,no,no,7113.98,28.01
3,2,no,no,6916.23,27.77
3,3,no,no,6625.64,25.69
3,4,no,no,6448.81,23.58
3,5,no,no,6276.99,21.69
3,6,no,no,6220.52,22.8
3,7,no,no,6271.01,25.79
3,8,no,no,6255.4,19.03
3,9,no,no,6505.01,24.57
3,10,no,no,6698.71,26.64
3,11,no,no,7241.33,32.37
3,12,no,no,7796.72,30.73
3,13,no,no,8268.97,33.21
3,14,no,no,8615.39,38.49
3,15,no,no,8821.71,35.33
3,16,no,yes,8987.76,35.17
3,17,no,yes,9164.51,35.39
3,18,no,yes,9272.98,36.18
3,19,no,yes,9357.03,36.72
3,20,no,yes,9432.4,36.33
3,21,no,yes,9445.62,37.08
3,22,no,yes,9582.23,40.92
